"Guid","PDRI__Action__c","PDRI__ComparisonView__c","PDRI__FilterType__c","PDRI__FilterValue__c","PDRI__ParentRule__c"
0018ac1f-637a-4ab2-986d-52e3ff59dabe,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,NavigationMenu,"#N/A"
0078eb1f-b0a6-4e55-bdc4-6305495ad38f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MutingPermissionSet,"#N/A"
00a70adf-b5ca-44e3-8a7a-29ba3accfb02,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ActionsSettings,"#N/A"
0115d6c7-07f9-4086-884b-fcd225b49c30,Include,0f6db0a6-67a0-4eae-a6dc-93729f80b9d0,Component_Type,Workflow,"#N/A"
01c7799d-611c-4676-82c7-909f0ac07e51,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ApexTestSuite,"#N/A"
02094d6a-d3bd-46b6-b0fb-e147ea789380,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MyDomainSettings,"#N/A"
024062e1-ad95-4ad2-a239-daddedca9252,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,InventorySettings,"#N/A"
042e3991-025c-41b0-803d-4a0ac5808365,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CompanySettings,"#N/A"
04589f66-5902-4d04-8657-d0ad1ae16985,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WebLink,"#N/A"
04c33cd4-859c-42e4-80d6-ed55ded150c6,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MLRecommendationDefinition,"#N/A"
04e992da-6af4-4b81-8b7b-ea5b815778e8,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,StandardValueSet,"#N/A"
0509c52a-9c84-4a1b-9dd5-79934173f69d,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EmployeeUserSettings,"#N/A"
0545eddc-cc41-443c-a9bd-dc35285c26a3,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DocumentType,"#N/A"
05d676a2-7ec4-4399-a056-102d4c5632fb,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,MobileApplicationDetail,"#N/A"
05f44979-4916-4613-9444-4eeff19c7c3a,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,UserAuthCertificate,"#N/A"
07ab0f56-e90a-4d09-b36c-c543884d4807,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AnalyticsSettings,"#N/A"
082e29b5-2801-42d1-a32c-b18104a4ddc4,Include,07ad8bca-bd11-47e5-a02a-5ea2028a31df,Component_Type,Profile,"#N/A"
0915e620-c3f3-492a-935c-e9a88e4382c5,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,LeadConfigSettings,"#N/A"
0acc4b40-88f7-4fff-99d2-773d450162b6,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,StandardValue,"#N/A"
0ca68cd2-dbf5-417b-9ce0-2ff71796a913,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WorkflowFieldUpdate,"#N/A"
0d427315-a802-4fac-be36-2cd0c56b554c,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CustomPageWebLink,"#N/A"
0e423354-e477-4b47-bbb0-178f6c1941fb,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AuthProvider,"#N/A"
0efa9ea3-2e84-4782-9da3-144e1908804f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,PartyDataModelSettings,"#N/A"
0fa8cd2f-475d-4486-bf9a-4e7befa6cdde,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,Flow,"#N/A"
0ff0972b-b635-4959-8ccd-c7d6f5638e69,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,CareRequestConfiguration,"#N/A"
10f48b78-df42-487a-9cdf-d225b5c82d41,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FlowCategory,"#N/A"
112f942f-d3e5-43b3-adfb-3739aa617353,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AssignmentRules,"#N/A"
12307748-cf78-43ac-a09b-b7eeeb249955,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ApexPage,"#N/A"
1254d860-1fc7-41e0-9b58-a1acfd78f16f,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AutoResponseRules,"#N/A"
1263b79f-b37a-43bd-bb91-d49846a2dde9,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,AIApplication,"#N/A"
127cfb59-b19e-49ef-98e9-d86df0d75223,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,BenefitAction,"#N/A"
135191a5-7fcd-45fe-a5ec-48b3fc3cf2a0,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WorkflowKnowledgePublish,"#N/A"
14060f76-b1fb-4a38-b9fe-410266e50217,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,PlatformEventSubscriberConfig,"#N/A"
1419d4da-bcf1-4f80-a867-0cab28841b68,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ObjectHierarchyRelationship,"#N/A"
148a8f7b-8e12-4b51-8993-841d98f5955c,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,EntitlementTemplate,"#N/A"
14b1781d-30a1-4a02-ad33-d18d43f6f1ed,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ModerationRule,"#N/A"
15c7ffe4-b9a8-4c61-9580-8ebd4de7fd46,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FieldRestrictionRule,"#N/A"
164faeb6-ca01-4718-ba6f-c3dc4e6f1cab,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,SiteDotCom,"#N/A"
16b532ba-415a-4f6c-9097-48501712b5bc,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,ApexTrigger,"#N/A"
16cbf760-ebe4-48ad-8a30-ac220316d3b7,Include,07ad8bca-bd11-47e5-a02a-5ea2028a31df,Component_Type,PermissionSet,"#N/A"
175c6483-4110-41a6-8c7f-614e8f14c989,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,OpportunityScoreSettings,"#N/A"
17b6c5da-d356-467c-9e4d-a7208135ba2e,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,RecordActionDeployment,"#N/A"
18340655-de7c-479a-a1c5-90e63f88e987,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,DelegateGroup,"#N/A"
1918fa7c-2b6d-4eeb-9d67-155ff31d61be,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,WorkflowOutboundMessage,"#N/A"
1960d171-f684-48da-aa8f-d0a641251d51,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,FieldServiceSettings,"#N/A"
1b4b18f3-90f1-44bf-9c7b-2a2dc57d148c,Include,53b93492-1dbf-4cd5-899d-c4b2a77e885e,Component_Type,LightningBolt,"#N/A"
1b7013ec-15b1-4acb-af00-e62711bf4989,Include,15ebed91-a105-4df6-8f18-ffacd66dfed9,Component_Type,Flow,"#N/A"
