"Guid","PDRI__Deactivate_All_Events__c","PDRI__Deployment_Name__c","PDRI__Deployment_Notes__c","PDRI__Deployment_Type__c","PDRI__Destination_Managed_Instance_ID__c","PDRI__Job_ID__c","PDRI__Source_Managed_Instance_ID__c","PDRI__Source_Name__c","PDRI__Source_Type__c","PDRI__Source__c","PDRI__Target_Name__c","PDRI__Target_Type__c","PDRI__Target__c"
0c36157f-38db-473a-b44b-61e00cbf41f2,false,GitHub Cloud : main to AppOps Dev 25 - 0724202313:23,"#N/A",Data,00D8c000004sPcPEAU,0e0c6290-7ecf-4ed6-b1e7-42ea954d5fbf,"#N/A",main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU
10751848-8500-4b13-aa3b-9a8b5d79fcdd,false,dsfsdfs,"#N/A",Data,"#N/A",c3e9e341-6d5a-4e59-92d6-18dc4d0ce4e9,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
200cf686-0bab-4e92-a818-92cd0d934220,false,test,"#N/A",Data,"#N/A",ac8625de-873e-4867-be04-1c9f1c519bbb,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
341d4533-86a8-46fa-b6a8-f4134c3a06a7,false,sdfgsd,"#N/A",Data,"#N/A",d166d119-3a5a-478b-88d7-bdd2b86ed3a5,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
44b0b250-6fa3-497d-af7b-a628e2a04064,false,GitHub Cloud : main to AppOps Dev 25 - 0724202309:23,"#N/A",Data,00D8c000004sPcPEAU,eb829c37-14ba-45a8-85f7-19902d4a9b12,"#N/A",main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU
49ee26a9-e8b4-4f3a-b321-b5da9695fd85,false,Deployment - 0725202315:02,"#N/A",Data,4e6bc144-5d03-4761-a661-f116ea333da1,f7b863cb-398e-4fa7-85c3-4d23a37d74d5,c63560c2-eabe-4d12-b037-804433a6bfc7,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,ScratchNew,Salesforce,00D7g000000ebVTEAY
599254d3-2613-47e5-830e-44c5d0d26333,false,test,"#N/A",Data,"#N/A",9447fbf9-53a4-470f-8421-92e452eb4b8b,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
5fe8167c-e830-449e-8092-e10876ad22b5,false,removed contact,"#N/A",Data,"#N/A",61078e41-35f2-46e5-b9ec-cada444ae5d5,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
78f671a7-4254-4d74-b4d2-71b4667b630c,false,GitHub Cloud : main to AppOps Dev 25 - 0724202309:18,"#N/A",Data,00D8c000004sPcPEAU,3d74cdde-ef51-40ec-a168-a7f374bdcbc8,"#N/A",main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU
8190123f-7ade-4d79-9465-330db39656d4,false,Deployment - 0724202312:16,"#N/A",Data,4e6bc144-5d03-4761-a661-f116ea333da1,118db34a-5cc3-416b-9462-d0c63f3c60a9,c63560c2-eabe-4d12-b037-804433a6bfc7,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,ScratchNew,Salesforce,00D7g000000ebVTEAY
93996b9b-07da-40e8-b2e4-115c885fc5d7,false,Deployment - 0721202314:33,"#N/A",Data,4e6bc144-5d03-4761-a661-f116ea333da1,e6fae5b7-4ec3-4c4f-a32c-d57def6f691e,c63560c2-eabe-4d12-b037-804433a6bfc7,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,ScratchNew,Salesforce,00D7g000000ebVTEAY
93c211db-8719-4ec8-9baa-e2d88b512092,false,fdgfdg,"#N/A",Data,"#N/A",5eaf6375-026c-43f5-ab7a-fd50e6b9a814,00D8c000004sPcPEAU,AppOps Dev 25,Salesforce,00D8c000004sPcPEAU,main,GitHub Cloud,https://github.com/tzioprodly/tzioprodly.git
