"Guid","AccessType"
31476a5a-9f47-449b-9e15-95edf8836cca,Give
390637a5-fda2-4f50-b02f-83296e898449,Give
39600583-e767-42f3-825e-05e6ceb618a3,Give
5d2b462a-9e1d-4feb-90fb-7b76e4506cc4,Give
64db629d-ed56-4fbf-9b0d-a097de63518f,Give
6b7e18aa-9545-4fa5-be30-ec94e7467cab,Give
6cc6f3ea-58d3-4d8b-bfad-84b669a36ac6,Give
9d784827-594d-41da-aa0e-81dbe6aad52c,Give
c6cee3f0-8cda-43c7-adff-6fd9c73842cc,Give
d69a4313-0de5-4a33-ac45-b750cd4362dc,Give
db203579-77bf-41c9-9d83-41105dc17786,Give
f1701902-c2b7-4665-a44a-53ad09f5dffa,Give
